iter,train_loss,val_loss,val_perplexity,lr,elapsed_min,tokens_seen,tokens_per_sec,peak_vram_mb,param_count,approx_train_pflops
0,11.025450439453126,11.028180770874023,61585.44079611883,7.499999999999999e-07,0.10497500896453857,0,0.0,7105.22607421875,124031232,0.0
1000,5.4943890953063965,5.521532354354858,250.01785976106464,0.00029881401808564876,3.776433523495992,16384000,72308.0824719187,17728.8076171875,124031232,12.192766230528
2000,4.903780584335327,5.011103553771973,150.07025539895898,0.00029163771774558066,7.557964324951172,32768000,72259.31611378196,17728.8759765625,124031232,24.385532461056
3000,4.596738662719726,4.684767618179321,108.28510589412839,0.0002782745815122284,11.327546163400013,49152000,72319.28152691045,17728.8759765625,124031232,36.578298691584
4000,4.373581523895264,4.458526115417481,86.36013038391113,0.0002593409575111219,15.095285662015279,65536000,72358.13161291608,17728.8759765625,124031232,48.771064922112
5000,4.255059404373169,4.354165887832641,77.80190275050474,0.00023571012155557247,18.872200946013134,81920000,72346.26937467876,17729.6953125,124031232,60.96383115264
6000,4.150106177330017,4.278031129837036,72.09834788680485,0.00020847199903372042,22.64335619211197,98304000,72356.76487616939,17729.6953125,124031232,73.156597383168
7000,4.078388767242432,4.194727277755737,66.33563790608932,0.000178882894264113,26.435409971078236,114688000,72307.05590561728,17729.6953125,124031232,85.349363613696
8000,4.008124556541443,4.144816517829895,63.10604200589134,0.00014830754595347243,30.223587469259897,131072000,72279.08783347443,17729.6953125,124031232,97.542129844224
9000,3.95179057598114,4.1032246541976924,60.535178217601995,0.00011815618133361066,34.01754583915075,147456000,72245.07057683014,17729.6953125,124031232,109.734896074752
10000,3.9140974426269532,4.047324948310852,57.24412106330107,8.981947223044537e-05,37.807901263237,163840000,72224.7618997531,17729.8388671875,124031232,121.92766230528
11000,3.8768283796310423,4.016564793586731,55.51008930925939,6.460439308728346e-05,41.60263806978862,180224000,72200.54959722883,17730.3076171875,124031232,134.120428535808
12000,3.820640788078308,3.9994724798202514,54.56935600260863,4.3673939363693026e-05,45.39778882265091,196608000,72179.72692020329,17730.3076171875,124031232,146.313194766336
13000,3.8001737070083617,3.982917971611023,53.67342347279672,2.7993486679120826e-05,49.192425815264386,212992000,72162.8707638391,17730.3076171875,124031232,158.505960996864
14000,3.811173844337463,3.9756406211853026,53.284240987883216,1.828626477925161e-05,52.98678492705027,229376000,72148.8072657469,17730.3076171875,124031232,170.698727227392
15000,3.7879306077957153,3.955097780227661,52.200797900797426,1.4999999999999999e-05,56.77409601211548,245760000,72145.57848928007,17730.3076171875,124031232,182.89149345792
