experiment,category,params_m,dataset_samples,context,iters,final_val_loss,ppl,checkpoint_mb,peak_vram_gb,latency_ms,energy_wh,quality_score,checkpoint_score,vram_score,latency_score,energy_score,parameter_score,deployment_lei,training_aware_lei,simple_lei,deployment_rank,training_aware_rank,simple_lei_rank
Baseline,baseline,32.159825,10000,256,1500,5.7634,318.42,122.71,10.84,10.2,10.78,0.15982036304252245,0.5766441202835956,0.5496309963099631,0.7627450980392158,0.8330241187384045,0.5765792568833941,0.4129333644224008,0.4642739161935663,0.00013862485661675507,16,13,10
Exp01 Weight Tying,small_ablation,19.243776,10000,256,1500,5.7693,320.32,73.44,10.69,12.64,9.87,0.15887237762237763,0.9635076252723312,0.5573433115060805,0.615506329113924,0.9098277608915908,0.963568064812228,0.48829994431814827,0.5581910295167626,0.00018672270715943632,10,4,4
Exp02 GELU,small_ablation,32.159825,10000,256,1500,5.8091,333.33,122.71,11.1,14.45,10.84,0.15267152671526715,0.5766441202835956,0.5367567567567568,0.5384083044982699,0.8284132841328414,0.5765792568833941,0.37413473311101303,0.43700165316241446,9.708303486821462e-05,20,17,13
Exp03 RMSNorm,small_ablation,32.155473,10000,256,1500,5.7722,321.24,122.69,11.11,13.51,11.5,0.15841738264226124,0.5767381204662158,0.5362736273627363,0.5758697261287935,0.7808695652173914,0.576657292523733,0.3822898139321768,0.43588817051097184,0.00010451872760119566,19,18,12
Exp04 SwiGLU,small_ablation,32.158449,10000,256,1500,5.7555,315.93,122.71,11.33,7.78,11.37,0.16107998607286425,0.5766441202835956,0.5258605472197705,1.0,0.789797713280563,0.5766039276334503,0.44552409625414613,0.4796447169490916,0.00018199413338565982,13,11,6
Exp05 WT + SwiGLU,small_combined,19.2424,10000,256,1500,5.7247,306.36,73.44,11.18,15.04,10.49,0.16611176393785088,0.9635076252723312,0.5329159212880143,0.5172872340425533,0.8560533841754052,0.9636369683615349,0.47316414054416106,0.5407628693615111,0.00015814911389722543,11,7,9
Exp06 WT + SwiGLU ctx512,context_test,19.307936,10000,512,1500,5.8448,345.43,73.69,11.18,13.62,10.72,0.14732362562603132,0.9602388383769848,0.5329159212880143,0.5712187958883994,0.8376865671641791,0.9603661416735583,0.471981913867251,0.5350683469665842,0.00017046871248625455,12,8,7
Exp07 Deeper-Narrower,shape_test,29.875409,10000,256,1500,5.803,331.29,114.02,11.11,13.65,11.97,0.15361163934921065,0.6205928784423786,0.5362736273627363,0.5699633699633699,0.7502088554720133,0.6206672517855738,0.39021272558381515,0.4397553407380111,0.00011072195396527514,18,16,11
Exp08 Wider-Shallower,shape_test,33.065425,10000,256,1500,5.762,318.0,126.15,10.43,8.53,9.63,0.1600314465408805,0.5609195402298851,0.5712368168744008,0.9120750293083236,0.9325025960539979,0.5607878320027642,0.4347342275169201,0.49243586687748353,0.000161283693326593,14,10,8
Exp09 Wider + WT + SwiGLU,small_efficiency,18.542688,10000,256,1500,5.749,313.87,70.76,10.54,12.71,9.06,0.16213719055659986,1.0,0.5652751423149905,0.6121164437450826,0.9911699779249448,1.0,0.4995704736594809,0.5812695315173889,0.000193407947706343,9,3,3
Exp10 Clean Data,data_test,18.542688,10000,256,1500,5.8246,338.53,70.76,10.54,8.65,8.98,0.1503264112486338,1.0,0.5652751423149905,0.8994219653179191,1.0,1.0,0.5373514512068217,0.6066002752627445,0.00028049812491990744,6,2,1
Exp11 WT + SwiGLU 3k,longer_train,19.2424,10000,256,3000,5.3123,202.82,73.45,11.18,14.03,19.48,0.2509121388423233,0.9633764465622873,0.5329159212880143,0.5545260156806843,0.4609856262833676,0.9636369683615349,0.5168838907548845,0.5191270569968008,0.00018267029747073496,8,9,5
Exp12 Wider + WT + SwiGLU 3k,longer_train,18.542688,10000,256,3000,5.347,210.0,70.76,10.54,12.06,16.29,0.24233333333333335,1.0,0.5652751423149905,0.6451077943615257,0.5512584407612032,1.0,0.5406074405014775,0.5506603931151655,0.00021915666544829404,4,5,2
Exp13 Medium Scaling,scaling,51.202896,50000,512,3000,5.0421,154.79,195.36,13.09,13.19,29.7,0.32876800826926805,0.3622031122031122,0.4551566080977846,0.5898407884761183,0.3023569023569024,0.36214139137755014,0.395242905216756,0.3719050842868547,7.69676280796079e-05,17,19,15
Exp14 Large Scaling,scaling,124.031232,100000,512,3000,4.9244,137.6,473.2,17.73,15.13,59.76,0.36984011627906976,0.1495350803043111,0.33604060913705586,0.5142101784534038,0.15026773761713522,0.14950015170372571,0.3313476941101988,0.29288156312926344,2.8363708499754554e-05,21,21,20
Exp15 Large 5k,scaling,124.031232,100000,512,5000,4.4663,87.03,473.2,17.73,16.76,96.03,0.5847408939446168,0.1495350803043111,0.33604060913705586,0.46420047732696895,0.09351244402790795,0.14950015170372571,0.42055158889072974,0.36532761004445463,2.823146131221492e-05,15,20,21
Exp16 Large 7.5k,scaling,124.031232,100000,512,7500,4.2254,68.4,473.2,17.73,11.92,141.11,0.7440058479532163,0.1495350803043111,0.33604060913705586,0.6526845637583892,0.0636382963645383,0.14950015170372571,0.5204934311593126,0.4434008781415311,4.195765239573393e-05,7,15,18
Exp17 Large 10k,scaling,124.031232,100000,512,10000,4.1167,61.36,473.2,17.73,14.77,183.67,0.829367666232073,0.1495350803043111,0.33604060913705586,0.5267433987813135,0.048892034627320745,0.14950015170372571,0.5400150746382368,0.4627395496947836,3.475566074141319e-05,5,14,19
Exp18 Large 15k,scaling,124.031232,100000,512,15000,3.9811,53.57,473.2,17.73,9.11,277.39,0.9499719992533134,0.1495350803043111,0.33604060913705586,0.8540065861690451,0.03237319297739645,0.14950015170372571,0.6433765026059547,0.5412297753945642,5.826849492944654e-05,2,6,16
Exp19 FP16 Deployment,compression,124.031232,100000,512,15000,3.9297,50.89,310.24,5.958,9.14,,1.0,0.22808148530170191,1.0,0.8512035010940919,,0.14950015170372571,0.7807718298096404,0.634282588075037,8.97421801131872e-05,1,1,14
Exp19 INT8 CPU,compression,124.031232,100000,512,15000,3.966,52.77,267.05,,20.34,,0.964373697176426,0.2649691069088186,,0.3824975417895772,,0.14950015170372571,0.5518116239647782,0.4786946142562235,4.641985283092379e-05,3,12,17
